datetime,wavelengths,mean,std,max,min
20200103225744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.207039, 0.381273, 43.164047, 38.875877, 73.94036, 85.39864, 73.40714, 0.155123, 0.245585, 3.035825, 13.162112]","[1.512495, 0.249012, 15.24616, 11.631372, 22.637192, 24.451836, 15.989546, 1.200512, 1.874208, 0.973541, 4.265342]","[18.406952, 3.556224, 68.948906, 62.376545, 110.10416, 124.938866, 98.66193, 20.28078, 27.049498, 6.77926, 23.713888]","[0.0, 0.0, 1.901164, 8.628756, 5.946034, 9.114757, 14.972655, 0.0, 0.0, 0.166362, 0.695195]"
20200104005743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.144632, 0.370025, 42.963467, 38.720303, 73.714035, 85.19664, 73.37897, 0.089779, 0.160221, 3.030998, 13.149323]","[1.273246, 0.229459, 14.983584, 11.445118, 22.214548, 23.973076, 15.643088, 0.852838, 1.492224, 0.95252, 4.17609]","[18.685844, 3.556224, 68.82217, 62.376545, 110.10416, 123.16038, 98.34671, 20.28078, 26.99384, 6.679444, 23.520779]","[0.0, 0.0, 2.281397, 8.628756, 6.15107, 9.114757, 15.130263, 0.0, 0.0, 0.182998, 0.656574]"
20200104015744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.308399, 0.379543, 42.948692, 38.694527, 73.68468, 85.142204, 73.45802, 0.252051, 0.37245, 3.032492, 13.158098]","[1.820406, 0.247865, 14.890689, 11.376615, 22.04507, 23.760855, 15.514277, 1.554291, 2.274047, 0.943392, 4.138973]","[21.381811, 3.556224, 68.69542, 62.376545, 110.3092, 123.3827, 98.66193, 20.28078, 27.049498, 6.671126, 23.443535]","[0.0, 0.0, 2.408142, 8.732716, 6.356106, 9.781692, 15.603084, 0.0, 0.0, 0.191317, 0.733818]"
20200104025743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.51056, 0.390956, 42.925705, 38.68436, 73.69821, 85.233734, 73.46741, 0.461822, 0.615444, 3.031253, 13.166744]","[2.087234, 0.25771, 14.799237, 11.316112, 21.901388, 23.611692, 15.398304, 1.868574, 2.50941, 0.935539, 4.106834]","[18.383707, 3.54159, 68.56867, 62.16862, 109.89913, 123.16038, 98.66193, 20.28078, 26.715553, 6.596262, 23.32767]","[0.0, 0.0, 2.281397, 8.732716, 6.356106, 9.781692, 15.76069, 0.0, 0.0, 0.207953, 0.733818]"
20200104055743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.103671, 0.4304, 43.626827, 39.083107, 74.735344, 86.27643, 74.01848, 1.177394, 1.498984, 3.042076, 13.244179]","[1.771186, 0.23626, 14.963502, 11.413296, 22.081905, 23.685026, 15.309468, 2.022372, 2.548386, 0.92523, 4.05245]","[16.687109, 3.230603, 77.56752, 62.272587, 121.79118, 133.38669, 98.66193, 16.81719, 19.786205, 6.463173, 23.211803]","[0.0, 0.0, 2.534886, 8.628756, 6.766176, 10.004003, 16.706333, 0.0, 0.0, 0.224589, 0.811061]"
20200104105744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.560391, 0.664975, 47.962677, 41.96178, 81.15572, 92.58286, 76.4953, 3.653968, 4.657789, 3.07132, 13.509417]","[2.918516, 0.372923, 17.12483, 13.216875, 25.479126, 27.057346, 16.576517, 3.075934, 3.859966, 0.925168, 4.172086]","[14.502447, 3.556224, 118.25245, 85.97567, 175.71559, 191.18759, 119.78125, 20.28078, 24.517086, 6.60458, 27.035378]","[0.0, 0.0, 2.408142, 8.316874, 6.766176, 10.004003, 16.233513, 0.0, 0.0, 0.199635, 0.811061]"
20200104125743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.447206, 0.673529, 48.0926, 42.06755, 81.29784, 92.74413, 76.4294, 3.683946, 4.66228, 3.063978, 13.48106]","[2.741222, 0.371771, 17.652403, 13.559183, 26.394445, 28.156242, 17.235893, 3.102631, 3.869232, 0.938987, 4.299168]","[14.107348, 3.54159, 115.59082, 83.896454, 173.66522, 182.96207, 116.62911, 20.28078, 24.767544, 6.60458, 26.726402]","[0.0, 0.0, 1.77442, 8.420834, 5.535963, 8.892446, 14.657441, 0.0, 0.0, 0.149726, 0.617952]"
20200104145743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.301987, 0.563819, 46.82854, 41.27974, 79.40322, 90.84872, 75.675064, 2.650214, 3.301034, 3.048038, 13.383266]","[2.152072, 0.312161, 17.258718, 13.230795, 25.851778, 27.76513, 17.424349, 2.814687, 3.488468, 0.954542, 4.388034]","[11.597309, 3.197675, 99.11406, 76.93107, 150.49619, 162.95407, 110.00962, 19.1958, 22.624731, 6.60458, 23.713888]","[0.0, 0.0, 2.154653, 8.316874, 5.946034, 8.892446, 15.603084, 0.0, 0.0, 0.166362, 0.695195]"
20200104175743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.010244, 0.452904, 44.77868, 39.97834, 76.332726, 87.86721, 74.49112, 1.280104, 1.572374, 3.04132, 13.271608]","[1.711654, 0.243915, 16.298428, 12.409791, 24.250456, 26.156776, 16.955923, 2.324449, 2.934826, 0.962612, 4.379882]","[12.526954, 3.526955, 77.56752, 63.31219, 129.78758, 140.05602, 102.12927, 16.420755, 20.259295, 6.496444, 23.520779]","[0.0, 0.0, 2.281397, 8.316874, 5.946034, 9.33707, 15.287869, 0.0, 0.0, 0.191317, 0.656574]"
20200104195743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.675235, 0.425181, 44.10139, 39.56761, 75.326385, 86.86508, 74.11735, 0.728376, 0.946204, 3.041125, 13.241416]","[1.698666, 0.235027, 16.022417, 12.144377, 23.78888, 25.669718, 16.727451, 1.81194, 2.374574, 0.960792, 4.357918]","[18.56964, 3.556224, 74.145424, 62.688427, 119.5358, 133.38669, 100.3956, 20.28078, 27.049498, 6.463173, 23.404913]","[0.0, 0.0, 2.281397, 8.628756, 6.356106, 9.559381, 14.972655, 0.0, 0.0, 0.13309, 0.695195]"
